model,model_key,family,lambda,split,runs,acc_mean,acc_std,tol1_acc_mean,tol1_acc_std,ang_mae_deg_mean,ang_mae_deg_std,fr_mean,fr_std,spikes_per_sample_mean,spikes_per_sample_std,synops_per_sample_mean,synops_per_sample_std
CRNNBaseline,crnn,crnn,0.0,clean,3,0.9708333333333332,0.00938194187433146,1.0,0.0,1.4115601285298665,0.040919000124861486,0.0,0.0,0.0,0.0,0.0,0.0
CRNNBaseline,crnn,crnn,0.0,noisy,3,0.6795833333333333,0.05033222956847166,0.96125,0.0066143782776614925,3.8166376813252767,0.6391881883292717,0.0,0.0,0.0,0.0,0.0,0.0
ConvRecSNN,conv_snn,snn,0.0,clean,3,0.9866666666666667,0.011614466553971976,1.0,0.0,1.2636687072118125,0.07522513281011806,0.05378079429268837,0.003360211634633422,5792.837083333333,361.9351157587103,1118746.875,70107.46859012549
ConvRecSNN,conv_snn,snn,0.03,clean,3,0.9862500000000001,0.010897247358851652,1.0,0.0,1.301302490234375,0.0694473928887395,0.05497057239214579,0.004318273346008079,5920.9904166666665,465.1298535125927,1143635.32,89269.7301274495
ConvRecSNN,conv_snn,snn,0.1,clean,3,0.9745833333333334,0.007216878364870297,1.0,0.0,1.305482398668925,0.06359284130673704,0.05321971128384272,0.0028478698655429358,5732.401666666668,306.749784551507,1107189.69,59115.060173053775
ConvRecSNN,conv_snn,snn,0.3,clean,3,0.9670833333333334,0.01821457749532864,1.0,0.0,1.2570954195658366,0.03963252878922047,0.05126386667291324,0.0032852010638923126,5521.733749999999,353.855588002984,1066002.1933333334,68755.75054458945
ConvRecSNN,conv_snn,snn,1.0,clean,3,0.98,0.015612494995996044,1.0,0.0,1.2637779458363851,0.06396263660796501,0.05228936016559601,0.0023650267609511572,5632.191666666667,254.74175224115857,1087805.6766666668,49599.4826530725
ConvRecSNN,conv_snn,snn,0.0,noisy,3,0.7975,0.04655306112384021,0.9908333333333333,0.0036084391824351483,2.6914352575937905,0.18691590813551387,0.05840938751896222,0.002997343456394293,6291.392083333333,322.8498721308341,1214784.59,62562.21611998666
ConvRecSNN,conv_snn,snn,0.03,noisy,3,0.8445833333333334,0.017514874630819816,0.995,0.003750000000000003,2.5921074867248532,0.14295184893036472,0.06084384625156721,0.004338454969669505,6553.6125,467.30368567152055,1265711.2416666667,90380.76107850042
ConvRecSNN,conv_snn,snn,0.1,noisy,3,0.80375,0.0021650635094611305,0.9933333333333333,0.0019094065395649958,2.8314445368448893,0.12562656650128712,0.058254526108503346,0.0022814238958636115,6274.711666666667,245.7367414669011,1211764.0999999999,47417.161564570364
ConvRecSNN,conv_snn,snn,0.3,noisy,3,0.80125,0.0340266439720405,0.9904166666666666,0.003145764348029456,2.6127245076497396,0.26753671821010566,0.05636389419436455,0.0027616173276400775,6071.067916666667,297.4593149184787,1171887.6516666666,58090.336525023726
ConvRecSNN,conv_snn,snn,1.0,noisy,3,0.8229166666666666,0.06331139971074189,0.9908333333333333,0.005636562191028633,2.6098606554667154,0.3239132449114874,0.058682836244503656,0.003082062734562573,6320.845833333333,331.97512227088777,1220371.1283333332,64608.930390891066
FlatLIFSNN,flat_snn,snn,0.0,clean,3,0.9862500000000001,0.017320508075688718,1.0,0.0,1.3339325396219888,0.031907308712887224,0.41908209323883056,0.0038996145418984498,3540.4054166666665,32.94392293478937,276193.14166666666,1003.9478751575466
FlatLIFSNN,flat_snn,snn,0.03,clean,3,0.9870833333333332,0.008322910148099256,1.0,0.0,1.3152002875010174,0.08966085414537885,0.4138769177595774,0.008033400852001776,3496.432083333333,67.86616592296451,271412.06666666665,7812.431053502682
FlatLIFSNN,flat_snn,snn,0.1,clean,3,0.9854166666666666,0.010026007846263313,1.0,0.0,1.250003496805827,0.08400022533626465,0.40037712415059407,0.005952548365749272,3382.3858333333337,50.28711897589517,263006.05333333334,5148.816695927168
FlatLIFSNN,flat_snn,snn,0.3,clean,3,0.9858333333333333,0.011203608049790644,1.0,0.0,1.2922223218282063,0.04320979932901023,0.36876258889834085,0.0026125166210133857,3115.30625,22.07054187712674,245633.82499999998,3654.4090786644347
FlatLIFSNN,flat_snn,snn,1.0,clean,3,0.9929166666666666,0.005051814855409246,1.0,0.0,1.2931046279271443,0.029786467953254885,0.28210533897082013,0.003152314188304558,2383.2258333333334,26.630740118720503,189182.70166666666,2184.8944396945863
FlatLIFSNN,flat_snn,snn,0.0,noisy,3,0.7454166666666667,0.03875671984744487,0.9716666666666667,0.004389855730355258,3.5695294507344566,0.5354606325093283,0.40017697691917425,0.005585714201307754,3380.6949999999997,47.188129449444034,258936.74333333332,2791.8200729198675
FlatLIFSNN,flat_snn,snn,0.03,noisy,3,0.7570833333333334,0.03340876880900183,0.9770833333333333,0.011880481191152766,3.27850412050883,0.2886451344959529,0.3929086391131083,0.01007915832576296,3319.2920833333337,85.14872493662665,253315.33833333335,8794.002782664353
FlatLIFSNN,flat_snn,snn,0.1,noisy,3,0.7420833333333333,0.03000867930005141,0.9758333333333334,0.0026020824993326815,3.6282338523864746,0.15301270471580902,0.37566821694374086,0.004211826248795247,3173.6450000000004,35.581497320412076,241791.58666666667,3263.7191872935846
FlatLIFSNN,flat_snn,snn,0.3,noisy,3,0.735,0.0433193086279086,0.9708333333333333,0.01264499242124457,3.6204901186625165,0.5868923875135609,0.3352903159459432,0.004060861962498429,2832.5325,34.30616088984602,216848.465,4009.2694927411676
FlatLIFSNN,flat_snn,snn,1.0,noisy,3,0.7999999999999999,0.02011684617428888,0.9858333333333333,0.009464847243000472,2.720596357981364,0.09058305474013684,0.24230153659979503,0.0018136677435692439,2046.9633333333334,15.321859197592154,155306.14166666666,2194.4746962674976
GCCPHATLSBaseline,gccphat_ls,classical,0.0,clean,3,0.7308333333333333,0.015827849927685482,1.0,0.0,2.7851860332489013,0.05421728391784415,0.0,0.0,0.0,0.0,0.0,0.0
GCCPHATLSBaseline,gccphat_ls,classical,0.0,noisy,3,0.6829166666666667,0.01063112568514421,0.9812500000000001,0.0021650635094611625,3.867736854553223,0.11635289719474745,0.0,0.0,0.0,0.0,0.0,0.0
